编号,公司/单位,采样/报告时间,猪种,世代划分/特殊处理,耳号,性别/阉割,日龄,体重kg,切肉重, 倒数三四膘厚,胴体全重,计算半胴体重（kg）,左胴体重,右胴体重,半胴体重差值（kg）,前腿重（kg),背腰重（kg）,后腿重（kg）,左侧胴体合计,后腿比例,前腿骨（kg）,前腿肉（kg）,前腿皮脂（kg）,背腰骨（kg）,背腰肉（kg）,背腰皮脂（kg）,后腿骨（kg）,后腿肉（kg）,后腿皮脂（kg）,腿臀重（kg）,腿臀骨重,腿臀肉重,腿臀皮重,骨（kg）,肉（kg）,皮重,皮脂（kg）,屠宰率,体长cm,胴体（斜）长,管围,臀围,体高（cm）,6-7肋处,胸腰结合处,腰荐结合处,肩部最厚处,平均膘厚,6-7肋皮厚mm,眼肌高cm,眼肌宽cm,面积cm2,眼肌厚度（cm2）,板油重kg,瘦肉率1（半胴体）,瘦肉率%,,皮脂率%,骨  率%,腿臀比%,心（kg）,肝（kg）,脾（kg）,肺（kg）,肾（kg）,睾丸（双）,胃加大肠（kg）,内脏总重（kg）,目距（kg）,（半）板油（kg）,板油重kg,肾加板油（kg）,头（kg）,前蹄（kg）,后蹄（kg）,睾丸（kg）,腰肌重（kg）,眼肌重（kg）,肋排（kg）,槽头肉（kg）,梅花（kg）,半腱、半膜（kg）,胸围（cm）,胸宽,胸深,腹围（cm）,背膘厚(mm),耳长（cm),耳宽（cm),头长（cm),头高（cm),嘴长（cm),吻高（cm),吻宽（cm),两眼间内间距,下眼眶至吻突,小肠长（cm),乳头数(对),颈椎长度（cm）,颈椎数目,胸椎长度（cm）,胸椎数目,第1胸椎棘突高cm,腰椎长度（cm）,腰椎数目,第1腰椎棘突高cm,6-7肋肋弓宽cm,肋骨（根）,眼肌pH45min,眼肌pH24h,眼肌pH48h,眼肌pH72h,眼肌pH96h,腰肌pH45min,腰肌pH24h,腰肌pH48h,腰肌pH72h,腰肌pH96h,眼肌肉色L值45min,眼肌肉色a值45min,眼肌肉色b值45min,眼肌肉色L值24h,眼肌肉色a值24h,眼肌肉色b值24h,眼肌肉色L值48h,眼肌肉色a值48h,眼肌肉色b值48h,眼肌肉色L值72h,眼肌肉色a值72h,眼肌肉色b值72h,眼肌肉色L值96h,眼肌肉色a值96h,眼肌肉色b值96h,腰肌肉色L值45min,腰肌肉色a值45min,腰肌肉色b值45min,腰肌肉色L值24h,腰肌肉色a值24h,腰肌肉色b值24h,腰肌肉色L值48h,腰肌肉色a值48h,腰肌肉色b值48h,腰肌肉色L值72h,腰肌肉色a值72h,腰肌肉色b值72h,腰肌肉色L值96h,腰肌肉色a值96h,腰肌肉色b值96h,嫩度(眼),韧性(眼),嫩度(腰),韧性(腰),滴水损失(眼),滴水损失(腰),压水(眼),压水(腰),大理石纹(眼),大理石纹(腰),眼肌力度,眼肌韧度(kg. sec),腰肌力度,腰肌韧度(kg. sec)
21,巴山牧业,2017.5.18,青峪猪,,QY10,母,270,107.5,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,77.21%,79,,,,,3.92,3.03,3.83,5.51,4.123,,3.2,9.4,21.06,,2.47,,0.366,,0.5521,0.0819,24.21%,,,,,,,,,,,247.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.00%,622.00%,627.00%,633.00%,,5.63,6.27,6.43,6.39,,49.36,7.66,1.04,48.01,8.72,3.51,47.44,9.63,2.92,45.67,18.12,3.35,,,,38.96,16.16,1.79,42.88,17.14,5.45,39.52,13.28,3.74,42.11,18.45,4.36,,,,,,,,1.7,,,,2.5,,10.15,50.52,2.72,11.36
22,巴山牧业,2017.5.18,青峪猪,,QY11,公,270,96,,,72.74,,,,,,,,,,,,,,,,,,,,,,,,,,,75.77%,74,,,,,4.88,4.11,4.182,6.4,4.897,,2.3,8.3,13.36,,2.93,,0.3695,,0.5525,0.078,25.47%,,,,,,,,,,,293.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588.00%,646.00%,642.00%,654.00%,,6.12,6.96,6.86,6.73,,42.33,7.58,-0.98,43.14,7.8,1.16,43.06,7.55,1.21,44.12,10.92,1.57,,,,38,17.43,1.47,36.5,17.49,3.92,34.53,14.48,2.26,40.6,16.97,3.69,,,,,,,,1.89,,,,2,,11.65,54.11,2.69,10.22
23,巴山牧业,2017.5.18,青峪猪,,QY12,母,270,103.95,,,81.84,,,,,,,,,,,,,,,,,,,,,,,,,,,78.73%,77,,,,,4.88,4.86,4.8,6.6,5.42,,2.8,7,13.72,,2.82,,0.3388,,0.5792,0.0817,24.72%,,,,,,,,,,,282.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644.00%,573.00%,577.00%,601.00%,,5.91,6.7,6.65,6.61,,38.12,7.53,-1.99,40.04,6.25,-0.26,38.01,7.94,-0.06,44.13,8.15,1.22,,,,39.41,17.37,1.65,43.73,16.18,7.27,39.83,13.72,4.57,43.08,17.94,4.68,,,,,,,,1.52,,,,3,,3.37,16.85,4.86,22.26
24,巴山牧业,2017.5.28,青峪猪,,QY13,母,300,100.8,,,81.74,,,,,,,,,,,,,,,,,,,,,,,,,,,81.09%,73,,,,,4.188,2.712,3.864,6.102,4.226,,3.712,8.13,21.12,,3.23,,0.3568,,0.5425,0.0852,25.57%,,,,,,,,,,,323.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674.00%,641.00%,648.00%,654.00%,,6.5,6.41,6.4,6.3,,39.44,8.11,0.51,45.11,7.51,2.65,47.15,6.1,2.03,46.04,7.71,0.76,,,,40.89,21.95,5.03,46.34,12.41,4.29,43.4,14.72,6.16,41.46,16.89,3.9,,,,,,,,1.94,,,,2.5,,7.75,35.49,7.14,34.08
25,巴山牧业,2017.5.28,青峪猪,,QY14,公,300,112.8,,,86.16,,,,,,,,,,,,,,,,,,,,,,,,,,,76.38%,82,,,,,4.354,3.28,3.814,5.804,4.299,,2.51,9.774,17.17,,2.4,,0.3825,,0.5323,0.0851,27.58%,,,,,,,,,,,240.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708.00%,609.00%,568.00%,580.00%,,6.56,6.05,6.02,6.06,,42,9.98,-0.38,44.1,10.54,1.81,42.33,8.75,0.07,42.72,9.66,-0.79,,,,41.96,20.41,3.76,42.31,19.76,4.92,42.8,17.99,4.39,40.96,18.67,2.22,,,,,,,,3.17,,,,4,,11.33,57.43,11.35,55.94
26,巴山牧业,2017.5.28,青峪猪,,QY15,公,300,115.85,,,92.98,,,,,,,,,,,,,,,,,,,,,,,,,,,80.26%,72,,,,,5.66,4.646,6.096,7.118,5.953,,3.688,8.716,22.5,,2.71,,0.3665,,0.5303,0.1033,26.42%,,,,,,,,,,,271.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.00%,612.00%,605.00%,603.00%,,6.19,6.27,6.28,6.16,,43.87,11.1,1.03,48.15,15.15,4.41,54.86,13.33,6.62,54.49,10.34,4.67,,,,37.71,18.74,2.12,42.89,17,4.5,43.35,14.96,5.67,41.84,18.91,5.09,,,,,,,,1.87,,,,3,,6.76,29.05,7.65,36.9
27,巴山牧业,2017.5.28,青峪猪,,QY16,母,300,106.1,,,84.02,,,,,,,,,,,,,,,,,,,,,,,,,,,79.19%,52,,,,,5.2,4.11,4.502,6.572,5.061,,3.1,8.62,18.71,,3.27,,0.3533,,0.5783,0.0682,25.81%,,,,,,,,,,,327.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673.00%,613.00%,598.00%,603.00%,,6.53,6.44,6.3,6.35,,41.7,9.08,0.32,46.99,8.03,3.61,45.66,7.54,2.74,44.72,8.78,-0.17,,,,39.07,16.9,2.81,42.16,15.42,5.04,41.29,13.68,4.75,41.16,16.41,2.64,,,,,,,,1.41,,,,3,,7.64,34.92,12.44,61.16
28,巴山牧业,2017.5.28,青峪猪,,QY17,母,300,127,,,100.4,,,,,,,,,,,,,,,,,,,,,,,,,,,79.06%,80,,,,,5.162,4.214,6.09,7.03,5.778,,3.608,9.044,22.84,,3.14,,0.3553,,0.5599,0.0848,27.16%,,,,,,,,,,,314.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701.00%,602.00%,593.00%,589.00%,,6.45,6.44,6.31,6.37,,45.82,10.87,0.3,47.84,11.38,3.58,52.61,11.85,5.89,49.37,11.93,1.86,,,,42.3,23.77,6.22,43.73,18.27,5.68,43.26,21.07,5.43,41.89,21.01,4.21,,,,,,,,2.31,,,,2.5,,5.28,20.84,2.86,10.47
29,巴山牧业,2017.5.28,青峪猪,,QY18,公,300,112.74,,,87.52,,,,,,,,,,,,,,,,,,,,,,,,,,,77.63%,84,,,,,4.374,2.945,4.532,6.348,4.608,,2.784,8.98,17.5,,3.06,,0.3423,,0.5903,0.0675,27.87%,,,,,,,,,,,306.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629.00%,641.00%,650.00%,645.00%,,6.74,6.93,6.95,6.8,,43.62,10.17,1.26,47.88,11.71,4.48,48.15,10.84,5.69,48.31,9.49,4.37,,,,39.47,19.36,2.14,43.21,18.41,7.67,42.38,15.05,5.53,40.84,18.9,5.01,,,,,,,,2.03,,,,3,,8.11,38.85,4.64,18.62
30,巴山牧业,2017.5.28,青峪猪,,QY19,公,330,123.2,,,96.06,,,,,,,,,,,,,,,,,,,,,,,,,,,77.97%,84,,,,,3.02,3.51,5.12,6.84,5.157,,3.33,7.32,17.06,,3.44,,0.3174,,0.6193,0.0633,24.91%,,,,,,,,,,,344.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.00%,631.00%,640.00%,625.00%,,4.65,6.46,6.49,6.44,,44.1,7.91,-0.48,43.31,9.34,2.1,47.97,8.74,3.27,45.96,9.36,2.35,,,,43.35,21.13,4.5,43.98,17.5,6.21,44.84,15.54,5.58,40.21,18.02,4.99,,,,,,,,1.38,,,,3.5,,8.36,42.34,6.74,31.18
31,巴山牧业,2017.5.28,青峪猪,,QY20,公,330,131.4,,,103.88,,,,,,,,,,,,,,,,,,,,,,,,,,,79.06%,82,,,,,5.412,3.816,5.38,7.28,5.492,,4.3,9.02,27.15,,3.04,,0.3405,,0.575,0.0845,24.23%,,,,,,,,,,,304.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707.00%,630.00%,608.00%,613.00%,,6.76,6.75,6.46,6.61,,42.99,7.89,-0.84,40.3,9.36,0.48,46.6,7.18,1.12,46.6,6.98,1.64,,,,42.84,23.33,5.87,41.17,19.25,5.23,46.81,17.14,8.22,40.59,16.63,3.78,,,,,,,,1.99,,,,3.5,,6.83,30.76,3.28,12.99
32,巴山牧业,2017.5.28,青峪猪,,QY21,母,330,125.1,,,99.4,,,,,,,,,,,,,,,,,,,,,,,,,,,79.46%,76,,,,,6.002,4.712,5.952,7.574,6.079,,3.314,7.726,17.92,,4.15,,0.3183,,0.6119,0.0699,24.62%,,,,,,,,,,,415.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685.00%,694.00%,693.00%,691.00%,,6.24,6.2,6.19,6.26,,42.7,12.07,0.9,40.31,12.45,2.57,40.41,11.42,2.12,48.76,12.34,2.94,,,,40.39,19.94,3.32,43.65,17.58,6.53,42.85,18.94,6.76,38.86,17.03,3.59,,,,,,,,3.63,,,,3.5,,11.74,53.15,2.86,11.44
33,巴山牧业,2017.5.28,青峪猪,,QY22,公,330,120.1,,,94.66,,,,,,,,,,,,,,,,,,,,,,,,,,,78.82%,80,,,,,4.182,4.59,4.118,6.3,5.003,,3.736,7.562,19.77,,3.71,,0.3575,,0.5645,0.078,26.17%,,,,,,,,,,,371.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620.00%,597.00%,582.00%,588.00%,,6.01,6.03,5.9,5.98,,46.07,8.05,-0.08,45.65,11.1,2.42,48.47,9.81,3.36,47.1,9.48,1.97,,,,42.02,20.43,4.81,42.94,17.99,7.81,43.85,17.18,4.34,42.99,20.22,4.14,,,,,,,,1.58,,,,2.5,,2.09,8.89,11.72,58.95
34,巴山牧业,2017.5.28,青峪猪,,QY23,母,330,120.4,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,88.04%,81,,,,,6.05,3.732,4.922,8.138,5.597,,3.83,8.238,22.09,,2.44,,0.3556,,0.5576,0.0875,24.36%,,,,,,,,,,,244.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670.00%,632.00%,619.00%,639.00%,,6.66,6.71,6.72,6.64,,42.49,11.51,1.63,44.36,10.1,3.35,47.78,10.03,4.56,47.71,9.82,1.78,,,,36.78,19.8,3.34,43.27,15.8,7.17,43.35,16.97,8.45,41.44,18.02,3.95,,,,,,,,2.1,,,,4,,8.12,39.79,5.3,20.08
35,巴山牧业,2017.5.28,青峪猪,,QY24,母,330,120.25,,,95.9,,,,,,,,,,,,,,,,,,,,,,,,,,,79.75%,84,,,,,4.01,3.216,3.858,5.892,4.322,,2.22,9.146,14.21,,3.64,,0.3607,,0.563,0.0764,25.80%,,,,,,,,,,,364.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.00%,659.00%,663.00%,652.00%,,6.44,6.76,6.67,6.69,,46.28,13.27,2.03,52.27,13.37,5.78,42.78,15.02,4.24,50.39,11.89,3.3,,,,42.04,23.87,3.89,43.14,17.79,3.13,42.99,19.64,4.04,42,19.35,2.7,,,,,,,,3.36,,,,2.5,,8.31,38.36,3.44,14.52
36,巴山牧业,2019.7.18,青峪猪,,18020233,公,356,,,,72.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,74,,,,2.401,1.178,1.8,3.57,2.18,,3.22,7.23,16.3,,1.45,,,,,,,,,,,,,,,,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.73,5.536666667,5.47,,,6.04,6.21,6.11,,,45.94,12.56,6.83,47.03,12.82,9.656666667,51.07333333,12.55,11.75,,,,,,,37.14,19.73,7.88,38.76,13.74,10.16,40.58,15.49,10.01,,,,,,,8.02,31.11,,,4.661016949,,29.26829268,,,,,,,
37,巴山牧业,2019.7.18,青峪猪,,18020167,公,380,,,,74.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,73,,,,3.22,1.206,1.13,4.354,2.23,,3.33,9.26,21.59,,0.95,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.41,5.546666667,5.43,,,5.81,5.96,5.85,,,47.5,15.6,7.75,49.8,17.29666667,11.60333333,52.14,17.09666667,13.06,,,,,,,36.52,18.85,7.52,40.28,18.16,10.72,40.9,21.74,12.89,,,,,,,6.1,22.92,,,6.104651163,,31.81818182,,,,,,,
38,巴山牧业,2019.7.18,青峪猪,,18020239,公,356,,,,46.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,66,,,,1.12,0.7,0.74,1.394,0.94,,2.14,8.79,13.16,,0.15,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.796666667,5.693333333,5.586666667,,,6.12,6.11,6.11,,,36.78,11.47,4.36,42.18666667,12.68666667,8.633333333,47.91666667,11.65333333,10.90666667,,,,,,,39.6,17.18,7.46,45.49,21.14,15.22,43.65,17.16,9.48,,,,,,,4.14,19.02,,,0.595238095,,34.69387755,,,,,,,
39,巴山牧业,2019.7.18,青峪猪,,18020332,公,354,,,,47.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,62,,,,3.83,2.14,2.95,5.588,3.56,,2.17,6.73,10.22,,0.9,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.053333333,5.523333333,5.356666667,,,6.34,6.37,6.37,,,42.61,7.06,5.61,53.15,8.903333333,10,56.79666667,9.476666667,11.99333333,,,,,,,36.86,17.69,6.36,39.63,21,10.3,38.9,18,9.16,,,,,,,4.67,19.74,,,1.428571429,,35,,,,,,,
40,巴山牧业,2019.7.18,青峪猪,,18020177,公,380,,,,78.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,77,,,,3.312,1.26,2,5.29,2.85,,2.76,9.83,18.99,,0.9,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25,5.81,5.583333333,,,5.95,5.9,5.79,,,35.19,10.32,3.51,36.08,11.02333333,6.343333333,43.13333333,11.06,8.48,,,,,,,34.88,19.46,6.63,41.75,21.48,13.18,38.77,19.52,11.88,,,,,,,4.91,19.98,,,1.058201058,,38.88888889,,,,,,,
41,巴山牧业,2019.7.18,青峪猪,,18020225,公,356,,,,57.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,62,,,,2.298,1.55,2.03,4.99,2.86,,2.28,7.19,11.5,,1.15,,,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.213333333,5.533333333,5.436666667,,,5.96,5.72,5.62,,,38.45,11.89,5.52,40.99333333,12.01,8.563333333,46.97666667,12.73666667,10.39333333,,,,,,,35.87,15.01,5.9,36.44,13.12,7.33,45.15,10.84,10.72,,,,,,,3.59,13.44,,,0.584795322,,39.02439024,,,,,,,
42,巴山牧业,2019.7.18,青峪猪,,18020185,公,380,,,,67.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,75,,,,1.09,0.884,0.3,2.86,1.35,,2.62,8.1,14.86,,0.35,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.886666667,5.546666667,5.466666667,,,6.13,6.14,6.16,,,35.15,8.99,3.25,35.71333333,9.26,4.943333333,46.09,11.98666667,9.896666667,,,,,,,37,16.15,6.31,38.5,14.75,7.65,44.07,18.28,12.33,,,,,,,8.24,35.62,,,0.854700855,,35.8974359,,,,,,,
43,巴山牧业,2019.7.18,青峪猪,,18020155,公,380,,,,42.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,58,,,,2.02,1.22,0.98,3.08,1.76,,2.56,8.48,15.2,,0.2,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.26,5.64,5.413333333,,,5.97,5.95,5.87,,,35.28,10.4,4.49,37.93666667,10.41666667,7.113333333,44.24,9.19,8.77,,,,,,,33.27,15.73,5.05,43.44,17.44,11.84,41.22,14.32,9.65,,,,,,,8.5,34.9,,,1.185770751,,36.84210526,,,,,,,
44,巴山牧业,2019.7.18,青峪猪,,18020269,公,354,,,,89.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,71.5,,,,3.29,2.55,2.25,5,3.27,,2.75,9.2,17.71,,1.55,,,,,,,,,,,,,,,,,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.533333333,5.526666667,5.46,,,5.66,5.69,5.64,,,39.95,9.19,4.07,41.48666667,9.373333333,6.913333333,46.52,9.71,8.02,,,,,,,38.05,17.59,8.65,40.87,15.32,8.74,45.06,17.69,14.2,,,,,,,4.57,17.69,,,0.59347181,,30.76923077,,,,,,,
45,巴山牧业,2019.7.18,青峪猪,,18020425,公,308,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,84.5,,,,4.19,1.28,2.46,4.99,2.91,,2,10.73,15.02,,1.15,,,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.253333333,5.433333333,5.356666667,,,5.55,5.66,5.58,,,59.05,13.13,11.25,61.81666667,17.05333333,14.90666667,61.19,13.17666667,13.78666667,,,,,,,38.5,18.41,7.38,40.36,16.06,9.41,45.16,17.82,14.24,,,,,,,3.15,10.72,,,7.255520505,,32.5,,,,,,,
46,巴山牧业,2019.7.18,青峪猪,,18020213,公,364,,,,63.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,69.5,,,,1.77,0.68,0.25,2.981,1.3,,2.34,9.5,15.56,,0.45,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.03,5.63,5.55,,,6.04,6.12,6.08,,,38.28,9,3.45,43.28333333,10.33,7.456666667,49.14333333,10.78,10.78666667,,,,,,,46.37,20.03,9.79,49.17,21.56,14.84,51.27,18.87,13.76,,,,,,,5.41,21.77,,,0.55401662,,38.46153846,,,,,,,
47,巴山牧业,2019.7.18,青峪猪,,18020140,母,406,,,,75.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,77,,,,2.98,3.1,2.74,4.57,3.47,,2.03,8.8,12.5,,1.4,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75,5.4,5.35,,,5.81,5.88,5.81,,,39.12,13,4.9,48.54333333,20.64333333,14.97,50.99666667,14.46666667,10.71,,,,,,,43.77,20.92,8.42,43.96,23.71,14.06,42.12,20.36,13.54,,,,,,,3.3,10.62,,,1.374570447,,35.29411765,,,,,,,
48,巴山牧业,2019.7.18,青峪猪,,18020144,母,408,,,,65.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,74.5,,,,2.135,2.335,1.535,3.53,2.47,,3.56,7.67,19.11,,0.8,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.476666667,5.63,5.596666667,,,5.7,5.86,5.79,,,45.45,18.69,8.94,47.73666667,3.923333333,4.88,51.34666667,5.816666667,5.183333333,,,,,,,49.62,4.81,3.96,39.27,15,9.19,44.18,18.43,11.25,,,,,,,4.55,17.92,,,4.408352668,,37.5,,,,,,,
49,巴山牧业,2019.7.18,青峪猪,,18020130,母,412,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,78,,,,3.6,3.12,4.118,5,4.08,,2.35,9.41,15.48,,2.2,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.113333333,5.563333333,5.553333333,,,6.14,6.32,6.31,,,41.02,8.37,4.72,42.81333333,10.76333333,7.986666667,45.39,9.76,8.43,,,,,,,39.12,19.07,8.64,36.87,14.18,7.94,43.86,17.01,11.9,,,,,,,5.29,20.6,,,5.177993528,,38.63636364,,,,,,,
50,巴山牧业,2019.7.18,青峪猪,,18020120,母,416,,,,81.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,67,,,,3.32,2.91,3.138,3.435,3.16,,2.31,6.17,9.98,,1.5,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.143333333,5.583333333,5.553333333,,,6.55,6.67,6.67,,,37.66,12.97,5.54,36.39,13.46,7.57,45.88333333,16.97666667,12.11666667,,,,,,,37.66,20.2,7.85,35.39,13.25,5.93,40.48,16.15,9.46,,,,,,,5.77,23.54,,,2.722772277,,37.20930233,,,,,,,
51,巴山牧业,2019.7.18,青峪猪,,18020132,母,412,,,,80.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,75,,,,2.99,2.98,3.43,3.99,3.47,,3.04,7.73,16.45,,1.4,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.413333333,5.743333333,5.776666667,,,6.25,6.09,6.09,,,41.95,5.34,4.34,40.4,7.496666667,6.61,45.15666667,8.67,11.77,,,,,,,33.47,15.48,4.93,32.37,8.28,4.71,42.96,13.57,11.51,,,,,,,4.24,15.95,,,3.430079156,,44.89795918,,,,,,,
52,巴山牧业,2019.7.18,青峪猪,,18020238,母,366,,,,88.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,79,,,,3.49,2.06,5.1,5.24,4.13,,2.4,9.39,15.78,,2.15,,,,,,,,,,,,,,,,,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.136666667,5.69,5.626666667,,,5.89,6.02,6.02,,,38.15,8.77,4.65,39.49666667,8.793333333,7.146666667,45.20333333,8.093333333,7.606666667,,,,,,,32.21,14.09,3.88,36.98,12.9,7.71,43.14,16.59,10.89,,,,,,,4.37,17.31,,,2.912621359,,35,,,,,,,
53,巴山牧业,2019.7.18,青峪猪,,18020136,母,412,,,,93.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,74.5,,,,4.56,2.46,3.82,6.54,4.27,,3.55,9.26,23.01,,2.3,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.286666667,6.233333333,6.32,,,6.11,6.23,6.31,,,37.68,8.9,4.96,35.72666667,4.593333333,3.606666667,40.72333333,8.12,7.013333333,,,,,,,34.01,17.96,6.81,33.24,14.51,6.66,42.4,22.12,14.11,,,,,,,6.95,27.41,,,4.666666667,,26.08695652,,,,,,,
54,巴山牧业,2019.7.18,青峪猪,,17010172,母,382,,,,75.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,72.5,,,,3.48,2.13,3.37,5.28,3.59,,2.89,7.62,15.42,,1.65,,,,,,,,,,,,,,,,,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.966666667,6.116666667,6.063333333,,,6.65,6.76,6.76,,,43.7,6.75,4.3,36.03333333,3.83,3.046666667,41.21333333,6,5.323333333,,,,,,,34.91,16.6,5.84,32.69,16.28,6.15,35.69,17.09,7.57,,,,,,,5.06,18.36,,,5.654761905,,31.37254902,,,,,,,
55,巴山牧业,2019.7.18,青峪猪,,18020270,母,358,,,,72.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,74,,,,3.02,3.23,3.07,4.55,3.62,,2.17,8.37,12.71,,1.35,,,,,,,,,,,,,,,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.473333333,5.526666667,5.533333333,,,6.77,6.86,6.83,,,45.83,14.19,7.44,38.75666667,8.51,4.943333333,47.28666667,10.6,7.233333333,,,,,,,34.32,17.41,5.88,32.04,15.91,6.09,35.3,18.61,5.64,,,,,,,6.9,26.05,,,4.188481675,,32.60869565,,,,,,,
56,巴山牧业,2019.7.18,青峪猪,,无,公 ,,,,,60.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.5,75,,,,2.7,1.78,1.97,2.64,2.13,,2.43,8.77,14.92,,0.7,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.32,5.673333333,5.676666667,,,5.6,5.69,5.67,,,40.78,4.71,3.43,46.25333333,8.153333333,7.976666667,50.10333333,6.566666667,8.653333333,,,,,,,46.66,21.8,9.31,40.99,17.85,8.65,48.53,20.16,11.98,,,,,,,5.52,21.85,,,3.376623377,,38.88888889,,,,,,,
57,巴山牧业,2019.7.18,青峪猪,,无,公-疝气,,,,,73.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,74,,,,1.79,1.98,2.49,2.7,2.39,,2.94,6.2,12.76,,1.75,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.286666667,5.43,5.396666667,,,5.45,5.56,5.58,,,56.98,10.22,9.69,52.92,9.056666667,8.866666667,57.17,10.17666667,11.61,,,,,,,48.96,20.5,9.87,42.84,20.34,10.99,49.97,21.2,14.43,,,,,,,7.27,28.28,,,1.398601399,,41.66666667,,,,,,,
