ID,公司,采样时间,猪种,ApH45min,ApH24h,ApH48h,BpH45min,BpH24h,BpH48h
480,绵阳明兴,2021.9.14,DD,5.97667,5.15333,5.21667,5.81667,5.53667,5.56
481,绵阳明兴,2021.9.14,YY,6.18,5.75667,5.78667,5.96,6.07,6.09667
482,绵阳明兴,2021.9.14,YY,6.49,5.22333,5.18,6.01333,5.42333,5.39667
483,绵阳明兴,2021.9.14,YY,6.52667,5.21333,5.25,6.3,5.44333,5.41
484,绵阳明兴,2021.9.14,YY,6.12,5.39,5.40667,5.88333,5.76,5.66333
485,绵阳明兴,2021.9.14,YY,6.10667,5.20667,5.26667,6.28667,5.42,5.30333
486,绵阳明兴,2021.9.14,YY,6.19667,5.29333,5.26667,5.89,5.31667,5.31
487,绵阳明兴,2021.9.14,YY,5.82333,5.12,5.12333,6.10667,5.45,5.33667
488,绵阳明兴,2021.9.14,YY,6.29667,5.23333,5.24667,5.88333,5.57333,5.59333
489,绵阳明兴,2021.9.14,YY,6.26,5.19,5.14,5.5,5.31333,5.31667
490,绵阳明兴,2021.9.14,YY,6.14667,5.23333,5.18667,5.80333,5.29333,5.29333
491,绵阳明兴,2021.9.14,YY,6.05333,5.28333,5.28667,5.91,5.88,5.68
492,绵阳明兴,2021.9.14,YY,6.55333,5.24667,5.21667,6.25667,5.36667,5.33667
493,绵阳明兴,2021.9.14,YY,6.27333,5.13,5.14333,5.96,5.75,5.70667
494,绵阳明兴,2021.9.14,YY,6.37333,5.55333,5.69,6.08333,6.09,5.99333
496,绵阳明兴,2021.9.14,LL,6.03667,5.11667,5.15667,5.84667,5.39,5.40333
497,绵阳明兴,2021.9.14,YY,6.19333,5.21333,5.14,6.12667,5.48,5.5
499,绵阳明兴,2021.9.14,YY,5.98333,5.14,5.14667,5.69333,5.63333,5.54333
500,绵阳明兴,2021.9.14,LL,6.05333,5.23667,5.37333,6.02,5.66,5.67667
501,绵阳明兴,2021.9.14,YY,6.01,5.23333,5.17333,5.82,5.28,5.21333
502,绵阳明兴,2021.9.14,DD,6.03667,5.15,5.25333,6.20333,5.35333,5.36667
503,绵阳明兴,2021.9.14,YY,6.34,5.20333,5.17333,6.05,5.65333,5.60333
504,绵阳明兴,2021.9.14,YY,5.32,5.21,5.12667,6.31333,5.52333,5.52333
505,绵阳明兴,2021.9.14,YY,6.06667,5.19,5.21667,5.98333,5.46333,5.21667
506,绵阳明兴,2021.9.14,YY,6.21667,5.35,5.35667,6.20333,6.17667,6.09333
507,绵阳明兴,2021.9.14,YY,5.67,5.17667,5.19667,5.69,5.72333,5.59333
508,绵阳明兴,2021.9.14,YY,6.44333,5.65,5.24333,5.83,5.62,5.69333
509,绵阳明兴,2021.9.14,YY,6.30333,5.19,5.21,6.03667,5.61333,5.69667
510,绵阳明兴,2021.9.14,DD,6.19333,5.18667,5.20667,5.94,5.5,5.6
511,绵阳明兴,2021.9.14,DD,6.05333,5.36333,5.33,5.84,5.33667,5.27333
525,绵阳明兴,2022.1.17,忆乡黑猪,6.23667,5.13,5.22333,6.25667,5.46667,5.5
526,绵阳明兴,2022.1.17,忆乡黑猪,6.14333,5.39,5.32333,6.13,5.71667,5.67
527,绵阳明兴,2022.1.17,忆乡黑猪,6.17333,5.31333,5.36333,5.83667,5.56,5.97667
528,绵阳明兴,2022.1.17,忆乡黑猪,5.83,5.24667,5.18,6.19667,6.24,6.29
529,绵阳明兴,2022.1.17,忆乡黑猪,6.07333,5.46333,5.52333,5.82,5.92333,5.91333
532,绵阳明兴,2022.1.17,忆乡黑猪,6.28667,5.39667,5.58333,6.25,6.11667,6.14667
533,绵阳明兴,2022.1.17,忆乡黑猪,5.74667,5.3,5.31667,5.99,6.13667,6.19333
534,内江猪,2022.1.12,内江猪,5.73,5.56,5.20667,6.00667,5.58667,5.36333
535,内江猪,2022.1.12,内江猪,5.99333,5.69333,4.99333,6.03,6.02667,5.20667
674,绵阳明兴,2022.11,YY,6.26333,5.08667,5.49,6.31667,5.35667,5.77
675,绵阳明兴,2022.11,YY,6.39333,5.43333,5.98333,6.5,5.94667,6.48333
676,绵阳明兴,2022.11,YY,6.11667,5.49333,5.75333,6.01667,6.44,6.78333
677,绵阳明兴,2022.11,YY,6.25,5.34667,5.54667,6.44,6.23333,6.28
678,绵阳明兴,2022.11,YY,5.72,5.74,5.7,6.38,5.66667,5.33333
681,绵阳明兴,2022.11,YY,6.22333,5.28333,5.48,6.57333,6.61333,6.20667
792,德康,2023.4,DD,5.99,5.77,5.99,5.81,5.44,5.27
795,德康,2023.4,YY,6.67,5.83,5.96,6.24,6.12,5.83
796,德康,2023.4,LL,6.7,5.66,5.79,6.06,6.3,6.17
797,德康,2023.4,DD,6.44,5.6,5.98,6.25,5.94,5.75
798,德康,2023.4,LL,6.37,5.64,6.1,6.01,6.16,5.96
799,德康,2023.4,YY,6.68,5.79,6.07,6.05,5.76,5.74
800,德康,2023.4,YY,6.02,5.87,6.17,5.77,5.72,5.58
801,德康,2023.4,YY,6.74,5.7,5.98,5.51,5.55,5.69
802,德康,2023.4,YY,6.58,5.72,5.9,5.87,5.79,5.86
804,德康,2023.4,LL,6.63,6.01,5.82,5.72,6,5.6
805,德康,2023.4,LL,5.85,5.27,5.85,5.73,5.67,5.76
806,德康,2023.4,LL,6.4,5.52,5.84,6.29,6.49,6.54
807,德康,2023.4,DD,6.8,6.07,6.02,5.87,6.21,6.36
808,德康,2023.4,DD,6.28,6.16,6.37,6.06,6.04,6.19
809,德康,2023.4,DD,6.63,5.64,6.23,5.85,5.82,5.94
810,德康,2023.4,DD,6.61,5.76,6.03,5.58,5.87,5.95
811,德康,2023.4,LL,6.31,5.58,5.84,6.02,6.07,6.15
813,德康,2023.4,DD,6.33,6.38,6.06,5.67,5.98,5.98
814,德康,2023.4,YY,6.71,5.62,5.76,5.83,6,5.95
815,德康,2023.4,LL,6.27,5.85,5.9,5.96,5.99,5.89
816,德康,2023.4,YY,6.59,5.84,5.84,5.95,6.24,6.26
817,德康,2023.4,LL,6.45,5.49,5.85,5.85,6.32,6.45
818,德康,2023.4,DD,6.47,5.61,5.77,5.65,5.88,5.9
819,德康,2023.4,DD,6.28,5.87,5.92,5.76,5.87,5.79
820,德康,2023.4,YY,6.19,5.65,5.87,5.94,5.5,5.66
821,德康,2023.4,YY,6.35,5.43,5.85,6.19,5.66,5.65
822,德康,2023.4,YY,6.46,6.24,5.89,5.6,5.95,5.63
823,德康,2023.4,YY,6.35,5.81,5.92,5.9,5.93,5.86
824,德康,2023.4,YY,6.13,5.46,5.95,6.06,5.77,5.65
825,德康,2023.4,LL,6.43,5.62,5.89,6.05,6.68,6.54
826,德康,2023.4,DD,6.42,5.65,6.05,6.02,6.32,6.27
827,德康,2023.4,DD,6.55,5.87,5.77,5.63,5.86,6
828,德康,2023.4,LL,6.5,5.48,5.84,5.65,6.05,6.05
829,德康,2023.4,DD,6.46,5.61,5.76,5.7,6.47,6.35
830,德康,2023.4,YY,6.65,6.22,6.15,5.83,6.25,6.43
831,德康,2023.4,DD,6.32,5.99,6.07,6.01,5.51,5.76
892,绵阳明兴,2023.10.,YY,5.9,5.9,5.61,5.49,5.62,5.5
